Judul,Saluran TV,Judul2,Judul2_no_stopwords,Judul2_ns_stem
Pemalsu Kosmetik Terkubur Bersama Pohon Besar dan Keluar Asap,Indosiar,pemalsu kosmetik terkubur bersama pohon besar dan keluar asap,pemalsu kosmetik terkubur pohon asap,palsu kosmetik kubur pohon asap
Jenazah Pengganggu Rumah Tangga Ketiban Brankas dan Terkubur Sampah,Indosiar,jenazah pengganggu rumah tangga ketiban brankas dan terkubur sampah,jenazah pengganggu rumah tangga ketiban brankas terkubur sampah,jenazah ganggu rumah tangga ketiban brankas kubur sampah
Juragan Bakhil Mati Dengan Kaki Gajah dan Tanah Kuburnya Amblas,Indosiar,juragan bakhil mati dengan kaki gajah dan tanah kuburnya amblas,juragan bakhil mati kaki gajah tanah kuburnya amblas,juragan bakhil mati kaki gajah tanah kubur amblas
Bumi Menolak Jenazah Anak Durhaka Penista Ibunya,Indosiar,bumi menolak jenazah anak durhaka penista ibunya,bumi menolak jenazah anak durhaka penista ibunya,bumi tolak jenazah anak durhaka nista ibu
"Ayah Pemeras Harta Anak, Wajah Jenazah Tidak Dikenali Karena Disengat Ratusan Lebah",Indosiar,ayah pemeras harta anak wajah jenazah tidak dikenali karena disengat ratusan lebah,ayah pemeras harta anak wajah jenazah dikenali disengat ratusan lebah,ayah peras harta anak wajah jenazah nali sengat ratus lebah
"Pegawai Pabrik Culas, Kuburannya Terendam Air Hitam dan Berbau Busuk Bak Limbah",Indosiar,pegawai pabrik culas kuburannya terendam air hitam dan berbau busuk bak limbah,pegawai pabrik culas kuburannya terendam air hitam berbau busuk bak limbah,pegawai pabrik culas kubur rendam air hitam bau busuk bak limbah
"Akibat Suka Sumpah Palsu, Tubuh Terkubur Hidup-Hidup dan Tanah Makamnya Amblas Ditelan Bumi",Indosiar,akibat suka sumpah palsu tubuh terkubur hidup hidup dan tanah makamnya amblas ditelan bumi,akibat suka sumpah palsu tubuh terkubur hidup hidup tanah makamnya amblas ditelan bumi,akibat suka sumpah palsu tubuh kubur hidup hidup tanah makam amblas tel bumi
"Akibat Durhaka Pada Orang Tua Karena Ambisi, Tali Kain Kafan Yang Mengikat Jenazah Tak Bisa Dilepas",Indosiar,akibat durhaka pada orang tua karena ambisi tali kain kafan yang mengikat jenazah tak bisa dilepas,akibat durhaka orang tua ambisi tali kain kafan mengikat jenazah dilepas,akibat durhaka orang tua ambisi tali kain kafan ikat jenazah lepas
Bumi Menimbun Jasad Anak Yang Kurang Ajar Pada Orangtuanya,Indosiar,bumi menimbun jasad anak yang kurang ajar pada orangtuanya,bumi menimbun jasad anak ajar orangtuanya,bumi timbun jasad anak ajar orangtua
"Akibat Menyia Nyiakan Suami dan Anak, Istri Tersiksa Terkubur Hidup Hidup Menjelang Ajalnya",Indosiar,akibat menyia nyiakan suami dan anak istri tersiksa terkubur hidup hidup menjelang ajalnya,akibat menyia nyiakan suami anak istri tersiksa terkubur hidup hidup menjelang ajalnya,akibat sia nyiakan suami anak istri siksa kubur hidup hidup jelang ajal
